Product Name,Sub Product,Issue,Sub Issue,Company,State Name,Zip Code,Submitted via,Date Sent to Company,Company Response to Consumer,Timely Response,Consumer Disputed,Complaint ID,Date Recieved
Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,Capital One,CA,94948,Phone,2014-08-14,Closed with explanation,Yes,No,978669,2014-08-11
Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,Tenet HealthCare Corporation,GA,31411,Web,2014-08-11,Closed with explanation,Yes,No,978672,2014-08-11
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,FMS Inc.,CA,95382,Web,2014-08-15,Closed,Yes,No,986713,2014-08-15
Debt collection,I do not know,Improper contact or sharing of info,Contacted me after I asked not to,Capital One,CA,92317,Web,2014-08-19,Closed with non-monetary relief,Yes,No,978676,2014-08-11
Debt collection,Credit card,Improper contact or sharing of info,Contacted employer after asked not to,Encore Capital Group,CA,94591,Web,2014-08-11,Closed with explanation,Yes,No,978680,2014-08-11
Debt collection,Credit card,Communication tactics,Frequent or repeated calls,Amex,CO,80921,Web,2014-08-11,Closed with explanation,No,Yes,978687,2014-08-11
Debt collection,I do not know,Communication tactics,Frequent or repeated calls,Receivables Performance Management LLC,CO,80918,Web,2014-08-15,Closed with explanation,Yes,No,986728,2014-08-15
Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,First Associates Loan Servicing LLC,FL,33414,Web,2014-08-26,Closed with explanation,Yes,No,1002117,2014-08-26
Debt collection,I do not know,Communication tactics,Frequent or repeated calls,"Portfolio Recovery Associates, Inc.",WA,98058,Web,2014-09-01,Closed with explanation,Yes,No,1009108,2014-09-01
Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,Global Recovery Group,VA,22031,Web,2014-08-18,Closed with explanation,Yes,No,973167,2014-08-07
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,ERC,NY,11433,Web,2014-09-05,Closed with non-monetary relief,Yes,No,1015754,2014-09-05
Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,"Navient Solutions, Inc.",IN,46368,Web,2014-08-26,Closed with explanation,Yes,Yes,1001088,2014-08-26
Debt collection,Mortgage,Disclosure verification of debt,Not given enough info to verify debt,"Select Portfolio Servicing, Inc",MA,1801,Postal mail,2014-08-25,Closed with explanation,Yes,Yes,994590,2014-08-21
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,"Amsher Collection Services, Inc.",MA,2139,Web,2014-08-15,Closed with non-monetary relief,Yes,No,986792,2014-08-15
Debt collection,Payday loan,Communication tactics,Frequent or repeated calls,Delbert Services,RI,2903,Web,2014-08-15,Closed with explanation,Yes,No,986735,2014-08-15
Debt collection,Payday loan,Communication tactics,Threatened to take legal action,"Enova International, Inc.",VA,23222,Phone,2014-08-29,Closed with explanation,Yes,No,1002185,2014-08-26
Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,Heartland Payment Systems,FL,34744,Web,2014-09-05,Closed with explanation,No,No,1009160,2014-09-01
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,Collectibles Management Resources,CA,94533,Web,2014-09-05,Closed with explanation,Yes,No,1009162,2014-09-01
Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"Debt Recovery Solutions, LLC",HI,96706,Web,2014-09-05,Closed with explanation,Yes,No,1009167,2014-09-01
Debt collection,Federal student loan,Communication tactics,Frequent or repeated calls,ConServe,AR,72032,Web,2014-09-05,Closed with explanation,Yes,No,1015836,2014-09-05
